Electronegativity,doping,R,OH,adsorbent,out
2.1,2,137,1,1,-33.34859887
2.1,2,137,1,3,-33.34860185
2.1,2,137,1,4,-33.34860683
2.1,2,137,1,5,-33.34860288
2.1,3,137,1,1,-34.80776298
2.1,3,137,1,2,-34.80771774
2.1,3,137,1,4,-34.80774061
2.1,3,137,1,5,-34.80773722
2.2,1,145,1,2,-67.95400392
2.2,1,145,1,1,-67.95400392
2.2,1,145,1,3,-67.95400392
2.2,1,145,1,4,-67.95400392
2.2,1,145,1,2,-65.86438654
2.2,1,145,1,1,-65.86438654
2.2,1,145,1,3,-65.86438654
2.2,1,145,1,4,-65.86438654
2.2,1,145,1,2,-67.36741378
2.2,1,145,1,1,-67.36741378
2.2,1,145,1,3,-67.36741378
2.2,1,145,1,4,-67.36741378
2.2,2,145,2,1,-28.52678189
2.2,2,145,2,3,-28.52678189
2.2,2,145,2,4,-28.52678192
2.2,2,145,2,2,-28.52678189
2.2,3,145,3,3,-45.12082696
2.2,3,145,3,1,-45.12082696
2.2,3,145,3,4,-45.12082696
2.2,3,145,3,2,-45.12082696
2.96,1,114,1,1,-115.9935423
2.96,1,114,1,2,-115.9935423
2.96,1,114,1,5,-115.9935423
2.96,1,114,1,3,-115.9935423
2.96,1,114,1,1,-93.37705274
2.96,1,114,1,2,-93.37705274
2.96,1,114,1,5,-93.37705274
2.96,1,114,1,3,-93.37705274
2.96,1,114,1,1,-94.99366849
2.96,1,114,1,2,-94.99366849
2.96,1,114,1,5,-94.99366849
2.96,1,114,1,3,-94.99366849
2.96,2,114,2,2,-75.34195462
2.96,2,114,2,1,-75.34195462
2.96,2,114,2,5,-75.34195462
2.96,2,114,2,3,-75.34195462
2.96,3,114,3,4,-78.17939096
2.96,3,114,3,2,-78.17939096
2.96,3,114,3,1,-78.17939096
2.96,3,114,3,3,-78.17939096
3.16,1,99,1,2,-73.0056073
3.16,1,99,1,5,-73.0056073
3.16,1,99,1,3,-73.0056073
3.16,1,99,1,1,-73.0056073
3.16,1,99,1,2,-80.81516765
3.16,1,99,1,5,-80.81516765
3.16,1,99,1,3,-80.81516765
3.16,1,99,1,1,-80.81516765
3.16,1,99,1,2,-115.1934685
3.16,1,99,1,5,-115.1934685
3.16,1,99,1,3,-115.1934685
3.16,1,99,1,1,-121.4685625
3.16,2,99,2,2,-78.85525
3.16,2,99,2,4,-78.85525
3.16,2,99,2,1,-78.85525
3.16,2,99,2,5,-78.85525
3.16,3,99,3,1,-109.4301978
3.16,3,99,3,3,-109.4301978
3.16,3,99,3,2,-109.4301978
3.16,3,99,3,4,-109.4301978
2.66,1,133,1,1,-60.59192806
2.66,1,133,1,4,-60.59192806
2.66,1,133,1,3,-60.59192806
2.66,1,133,1,3,-60.59192806
2.66,1,133,1,1,-67.1704052
2.66,1,133,1,4,-67.1704052
2.66,1,133,1,3,-67.1704052
2.66,1,133,1,3,-67.1704052
2.66,1,133,1,1,-81.30430767
2.66,1,133,1,4,-81.30430767
2.66,1,133,1,3,-81.30430767
2.66,1,133,1,3,-81.30430767
2.66,2,133,2,1,-71.76752416
2.66,2,133,2,2,-71.76752416
2.66,2,133,2,2,-71.76752416
2.66,2,133,2,4,-71.76752416
2.66,3,133,3,4,-81.20855779
2.66,3,133,3,1,-81.20855779
2.66,3,133,3,2,-81.20855779
2.66,3,133,3,3,-81.20855779
3.98,1,64,1,2,-81.88638231
3.98,1,64,1,1,-81.88638231
3.98,1,64,1,3,-81.88638231
3.98,1,64,1,5,-81.88638231
3.98,1,64,1,2,-84.16160385
3.98,1,64,1,1,-84.16160385
3.98,1,64,1,3,-84.16160385
3.98,1,64,1,5,-84.16160385
3.98,1,64,1,2,-80.87279375
3.98,1,64,1,1,-80.87279375
3.98,1,64,1,3,-80.87279375
3.98,1,64,1,5,-80.87279375
3.98,2,64,2,2,-101.0771977
3.98,2,64,2,4,-101.0771977
3.98,2,64,2,1,-101.0771977
3.98,2,64,2,3,-101.0771977
3.98,3,64,3,1,-105.7874911
3.98,3,64,3,4,-105.7874911
3.98,3,64,3,2,-105.7874911
3.98,3,64,3,5,-105.7874911
