gap,Electronegativity,R,doping,OH,adsorbent,out
0.841,2.55,127,1,1,3,-31.12299563
0.841,2.55,127,1,1,4,-29.31067361
0.841,2.55,127,1,2,1,-33.14138118
0.841,2.55,127,1,2,2,-28.98469393
0.841,2.55,127,1,2,3,-31.12299563
0.841,2.55,127,1,2,4,-29.31067361
0.841,2.55,127,1,3,1,-33.14138118
0.841,2.55,127,1,3,2,-28.98469393
0.841,2.55,127,1,3,3,-31.12299563
0.841,2.55,127,1,3,4,-29.31067361
0.686,2.55,127,2,1,1,-25.09274004
0.686,2.55,127,2,1,4,-26.84192886
0.686,2.55,127,2,1,3,-24.19737107
0.686,2.55,127,2,1,2,-23.15757834
0.623,2.55,127,3,1,1,-23.51708728
0.623,2.55,127,3,1,3,-20.87209351
0.623,2.55,127,3,1,2,-20.11140386
0.623,2.55,127,3,1,4,-20.17067082
0.201,2.1,137,1,1,1,-1.519091188
0.201,2.1,137,1,1,5,-1.860426234
0.201,2.1,137,1,1,6,-1.722903703
0.201,2.1,137,1,1,2,-3.366495155
0.201,2.1,137,1,2,1,-1.519091188
0.201,2.1,137,1,2,5,-1.860426234
0.201,2.1,137,1,2,6,-1.722903703
0.201,2.1,137,1,2,2,-3.366495155
0.201,2.1,137,1,3,1,-1.519091188
0.201,2.1,137,1,3,5,-1.860426234
0.201,2.1,137,1,3,6,-1.722903703
0.201,2.1,137,1,3,2,-3.366495155
0.201,2.1,137,2,1,1,-29.52852683
0.201,2.1,137,2,1,3,-25.38582523
0.201,2.1,137,2,1,4,-21.29285069
0.201,2.1,137,2,1,5,-26.20717574
0.688,2.1,137,3,1,1,-23.85420258
0.688,2.1,137,3,1,2,-22.05175276
0.688,2.1,137,3,1,4,-18.15649611
0.688,2.1,137,3,1,5,-18.24162172
0.884,2.2,145,1,1,2,-22.57381367
0.884,2.2,145,1,1,1,-21.81357106
0.884,2.2,145,1,1,3,-21.73294263
0.884,2.2,145,1,1,4,-22.57026759
0.884,2.2,145,1,1,2,-22.57381367
0.884,2.2,145,1,1,1,-21.81357106
0.884,2.2,145,1,1,3,-21.73294263
0.884,2.2,145,1,1,4,-22.57026759
0.884,2.2,145,1,1,2,-22.57381367
0.884,2.2,145,1,1,1,-21.81357106
0.884,2.2,145,1,1,3,-21.73294263
0.884,2.2,145,1,1,4,-22.57026759
0.62,2.2,145,2,2,1,-24.24589836
0.62,2.2,145,2,2,3,-25.34969288
0.62,2.2,145,2,2,4,-24.34527731
0.62,2.2,145,2,2,2,-25.87741422
0.765,2.2,145,3,3,3,-23.78821865
0.765,2.2,145,3,3,1,-25.81501315
0.765,2.2,145,3,3,4,-22.5685976
0.765,2.2,145,3,3,2,-21.43573451
0.858,2.96,114,1,1,1,-37.40908892
0.858,2.96,114,1,1,2,-30.01839671
0.858,2.96,114,1,1,5,-37.51275976
0.858,2.96,114,1,1,3,-36.34838281
0.858,2.96,114,1,1,1,-37.40908892
0.858,2.96,114,1,1,2,-30.01839671
0.858,2.96,114,1,1,5,-37.51275976
0.858,2.96,114,1,1,3,-36.34838281
0.858,2.96,114,1,1,1,-37.40908892
0.858,2.96,114,1,1,2,-30.01839671
0.858,2.96,114,1,1,5,-37.51275976
1.058,2.96,114,1,1,3,-36.34838281
1.058,2.96,114,2,2,2,-29.93223547
1.058,2.96,114,2,2,1,-32.51421773
1.058,2.96,114,2,2,5,-30.58899534
1.175,2.96,114,2,2,3,-31.29428236
1.175,2.96,114,3,3,4,-28.7179381
1.175,2.96,114,3,3,2,-27.06551716
1.175,2.96,114,3,3,1,-28.8619381
1.175,2.96,114,3,3,3,-25.41847956
1.064,3.16,99,1,1,2,-30.89934854
1.064,3.16,99,1,1,5,-33.12575047
1.064,3.16,99,1,1,3,-33.16354951
1.064,3.16,99,1,1,1,-25.83997363
1.064,3.16,99,1,1,2,-30.89934854
1.064,3.16,99,1,1,5,-33.12575047
1.064,3.16,99,1,1,3,-33.16354951
1.064,3.16,99,1,1,1,-25.83997363
1.064,3.16,99,1,1,2,-30.89934854
1.064,3.16,99,1,1,5,-33.12575047
1.064,3.16,99,1,1,3,-33.16354951
1.064,3.16,99,1,1,1,-32.11506763
1.072,3.16,99,2,2,2,-26.36062555
1.072,3.16,99,2,2,4,-27.76187603
1.072,3.16,99,2,2,1,-28.51851247
1.072,3.16,99,2,2,5,-29.70566194
1.062,3.16,99,3,3,1,-27.53749445
1.062,3.16,99,3,3,3,-29.88010217
1.062,3.16,99,3,3,2,-29.27878239
1.062,3.16,99,3,3,4,-28.68877707
1.046,2.66,133,1,1,1,-26.46189964
1.046,2.66,133,1,1,4,-25.87023106
1.046,2.66,133,1,1,3,-30.90701641
1.046,2.66,133,1,1,3,-29.96063186
1.046,2.66,133,1,1,1,-26.46189964
1.046,2.66,133,1,1,4,-25.87023106
1.046,2.66,133,1,1,3,-30.90701641
