Electronegativity,doping,R,OH,adsorbent,out
2.1,2,137,1,1,-3.82007204
2.1,2,137,1,3,-7.96277662
2.1,2,137,1,4,-12.05575614
2.1,2,137,1,5,-7.14142714
2.1,3,137,1,1,-10.9535604
2.1,3,137,1,2,-12.75596498
2.1,3,137,1,4,-16.6512445
2.1,3,137,1,5,-16.5661155
2.2,1,145,1,2,-45.38019026
2.2,1,145,1,1,-46.14043286
2.2,1,145,1,3,-46.2210613
2.2,1,145,1,4,-45.38373633
2.2,1,145,1,2,-43.29057287
2.2,1,145,1,1,-44.05081548
2.2,1,145,1,3,-44.13144391
2.2,1,145,1,4,-43.29411895
2.2,1,145,1,2,-44.79360012
2.2,1,145,1,1,-45.55384273
2.2,1,145,1,3,-45.63447116
2.2,1,145,1,4,-44.7971462
2.2,2,145,2,1,-4.28088353
2.2,2,145,2,3,-3.177089011
2.2,2,145,2,4,-4.181504611
2.2,2,145,2,2,-2.649367677
2.2,3,145,3,3,-21.3326083
2.2,3,145,3,1,-19.30581381
2.2,3,145,3,4,-22.55222936
2.2,3,145,3,2,-23.68509245
2.96,1,114,1,1,-78.5844534
2.96,1,114,1,2,-85.97514561
2.96,1,114,1,5,-78.48078255
2.96,1,114,1,3,-79.64515951
2.96,1,114,1,1,-55.96796382
2.96,1,114,1,2,-63.35865603
2.96,1,114,1,5,-55.86429298
2.96,1,114,1,3,-57.02866993
2.96,1,114,1,1,-57.58457957
2.96,1,114,1,2,-64.97527178
2.96,1,114,1,5,-57.48090872
2.96,1,114,1,3,-58.64528568
2.96,2,114,2,2,-45.40971915
2.96,2,114,2,1,-42.82773688
2.96,2,114,2,5,-44.75295927
2.96,2,114,2,3,-44.04767226
2.96,3,114,3,4,-49.46145286
2.96,3,114,3,2,-51.1138738
2.96,3,114,3,1,-49.31745286
2.96,3,114,3,3,-52.7609114
3.16,1,99,1,2,-42.10625876
3.16,1,99,1,5,-39.87985683
3.16,1,99,1,3,-39.84205779
3.16,1,99,1,1,-47.16563367
3.16,1,99,1,2,-49.91581911
3.16,1,99,1,5,-47.68941718
3.16,1,99,1,3,-47.65161814
3.16,1,99,1,1,-54.97519402
3.16,1,99,1,2,-84.29411993
3.16,1,99,1,5,-82.067718
3.16,1,99,1,3,-82.02991896
3.16,1,99,1,1,-89.35349484
3.16,2,99,2,2,-52.49462446
3.16,2,99,2,4,-51.09337398
3.16,2,99,2,1,-50.33673753
3.16,2,99,2,5,-49.14958807
3.16,3,99,3,1,-81.89270331
3.16,3,99,3,3,-79.55009559
3.16,3,99,3,2,-80.15141537
3.16,3,99,3,4,-80.7414207
2.66,1,133,1,1,-34.13002842
2.66,1,133,1,4,-34.72169701
2.66,1,133,1,3,-29.68491165
2.66,1,133,1,3,-30.63129621
2.66,1,133,1,1,-40.70850556
2.66,1,133,1,4,-41.30017414
2.66,1,133,1,3,-36.26338879
2.66,1,133,1,3,-37.20977334
2.66,1,133,1,1,-54.84240803
2.66,1,133,1,4,-55.43407661
2.66,1,133,1,3,-50.39729126
2.66,1,133,1,3,-51.34367581
2.66,2,133,2,1,-43.37692997
2.66,2,133,2,2,-37.18165792
2.66,2,133,2,2,-37.62984641
2.66,2,133,2,4,-39.71881143
2.66,3,133,3,4,-58.86883039
2.66,3,133,3,1,-60.68548798
2.66,3,133,3,2,-62.86726431
2.66,3,133,3,3,-62.16084224
3.98,1,64,1,2,-53.52540228
3.98,1,64,1,1,-51.71375831
3.98,1,64,1,3,-52.06121486
3.98,1,64,1,5,-51.29186089
3.98,1,64,1,2,-55.80062382
3.98,1,64,1,1,-53.98897985
3.98,1,64,1,3,-54.3364364
3.98,1,64,1,5,-53.56708243
3.98,1,64,1,2,-52.51181372
3.98,1,64,1,1,-50.70016975
3.98,1,64,1,3,-51.04762631
3.98,1,64,1,5,-50.27827233
3.98,2,64,2,2,-79.83948049
3.98,2,64,2,4,-72.45168067
3.98,2,64,2,1,-73.65914822
3.98,2,64,2,3,-74.48269493
3.98,3,64,3,1,-87.2906482
3.98,3,64,3,4,-75.51028258
3.98,3,64,3,2,-82.4631412
3.98,3,64,3,5,-82.84826648
