Electronegativity,R,doping,OH,adsorbent,out
2.1,137,2,1,1,-29.52852683
2.1,137,2,1,3,-25.38582523
2.1,137,2,1,4,-21.29285069
2.1,137,2,1,5,-26.20717574
2.1,137,3,1,1,-23.85420258
2.1,137,3,1,2,-22.05175276
2.1,137,3,1,4,-18.15649611
2.1,137,3,1,5,-18.24162172
2.2,145,1,1,2,-22.57381367
2.2,145,1,1,1,-21.81357106
2.2,145,1,1,3,-21.73294263
2.2,145,1,1,4,-22.57026759
2.2,145,1,1,2,-22.57381367
2.2,145,1,1,1,-21.81357106
2.2,145,1,1,3,-21.73294263
2.2,145,1,1,4,-22.57026759
2.2,145,1,1,2,-22.57381367
2.2,145,1,1,1,-21.81357106
2.2,145,1,1,3,-21.73294263
2.2,145,1,1,4,-22.57026759
2.2,145,2,2,1,-24.24589836
2.2,145,2,2,3,-25.34969288
2.2,145,2,2,4,-24.34527731
2.2,145,2,2,2,-25.87741422
2.2,145,3,3,3,-23.78821865
2.2,145,3,3,1,-25.81501315
2.2,145,3,3,4,-22.5685976
2.2,145,3,3,2,-21.43573451
2.96,114,1,1,1,-37.40908892
2.96,114,1,1,2,-30.01839671
2.96,114,1,1,5,-37.51275976
2.96,114,1,1,3,-36.34838281
2.96,114,1,1,1,-37.40908892
2.96,114,1,1,2,-30.01839671
2.96,114,1,1,5,-37.51275976
2.96,114,1,1,3,-36.34838281
2.96,114,1,1,1,-37.40908892
2.96,114,1,1,2,-30.01839671
2.96,114,1,1,5,-37.51275976
2.96,114,1,1,3,-36.34838281
2.96,114,2,2,2,-29.93223547
2.96,114,2,2,1,-32.51421773
2.96,114,2,2,5,-30.58899534
2.96,114,2,2,3,-31.29428236
2.96,114,3,3,4,-28.7179381
2.96,114,3,3,2,-27.06551716
2.96,114,3,3,1,-28.8619381
2.96,114,3,3,3,-25.41847956
3.16,99,1,1,2,-30.89934854
3.16,99,1,1,5,-33.12575047
3.16,99,1,1,3,-33.16354951
3.16,99,1,1,1,-25.83997363
3.16,99,1,1,2,-30.89934854
3.16,99,1,1,5,-33.12575047
3.16,99,1,1,3,-33.16354951
3.16,99,1,1,1,-25.83997363
3.16,99,1,1,2,-30.89934854
3.16,99,1,1,5,-33.12575047
3.16,99,1,1,3,-33.16354951
3.16,99,1,1,1,-32.11506763
3.16,99,2,2,2,-26.36062555
3.16,99,2,2,4,-27.76187603
3.16,99,2,2,1,-28.51851247
3.16,99,2,2,5,-29.70566194
3.16,99,3,3,1,-27.53749445
3.16,99,3,3,3,-29.88010217
3.16,99,3,3,2,-29.27878239
3.16,99,3,3,4,-28.68877707
2.66,133,1,1,1,-26.46189964
2.66,133,1,1,4,-25.87023106
2.66,133,1,1,3,-30.90701641
2.66,133,1,1,3,-29.96063186
2.66,133,1,1,1,-26.46189964
2.66,133,1,1,4,-25.87023106
2.66,133,1,1,3,-30.90701641
2.66,133,1,1,3,-29.96063186
2.66,133,1,1,1,-26.46189964
2.66,133,1,1,4,-25.87023106
2.66,133,1,1,3,-30.90701641
2.66,133,1,1,3,-29.96063186
2.66,133,2,2,1,-28.39059419
2.66,133,2,2,2,-34.58586624
2.66,133,2,2,2,-34.13767776
2.66,133,2,2,4,-32.04871273
2.66,133,3,3,4,-22.33972741
2.66,133,3,3,1,-20.52306982
2.66,133,3,3,2,-18.34129348
2.66,133,3,3,3,-19.04771555
3.98,64,1,1,2,-28.36098003
3.98,64,1,1,1,-30.172624
3.98,64,1,1,3,-29.82516745
3.98,64,1,1,5,-30.59452142
3.98,64,1,1,2,-28.36098003
3.98,64,1,1,1,-30.172624
3.98,64,1,1,3,-29.82516745
3.98,64,1,1,5,-30.59452142
3.98,64,1,1,2,-28.36098003
3.98,64,1,1,1,-30.172624
3.98,64,1,1,3,-29.82516745
3.98,64,1,1,5,-30.59452142
3.98,64,2,2,2,-21.23771719
3.98,64,2,2,4,-28.62551701
3.98,64,2,2,1,-27.41804947
3.98,64,2,2,3,-26.59450275
3.98,64,3,3,1,-18.49684289
3.98,64,3,3,4,-30.27720851
3.98,64,3,3,2,-23.32434988
3.98,64,3,3,5,-22.9392246
