gap,doping,Electronegativity,R,OH,adsorbent,out
0.841,1,2.55,127,1,3,-53.825298
0.841,1,2.55,127,1,4,-53.82529639
0.841,1,2.55,127,2,1,-61.06451788
0.841,1,2.55,127,2,2,-61.06452392
0.841,1,2.55,127,2,3,-61.06452252
0.841,1,2.55,127,2,4,-61.06452091
0.841,1,2.55,127,3,1,-60.49466145
0.841,1,2.55,127,3,2,-60.49466749
0.841,1,2.55,127,3,3,-60.49466609
0.841,1,2.55,127,3,4,-60.49466448
0.686,2,2.55,127,1,1,-35.96394333
0.686,2,2.55,127,1,4,-35.96394339
0.686,2,2.55,127,1,3,-35.9639438
0.686,2,2.55,127,1,2,-35.96394421
0.623,3,2.55,127,1,1,-31.22222419
0.623,3,2.55,127,1,3,-31.22222531
0.623,3,2.55,127,1,2,-31.22222634
0.623,3,2.55,127,1,4,-31.22222624
0.201,1,2.1,137,1,1,-34.51821862
0.201,1,2.1,137,1,5,-34.51821927
0.201,1,2.1,137,1,6,-33.84464656
0.201,1,2.1,137,1,2,-48.91909047
0.201,1,2.1,137,2,1,-41.59790577
0.201,1,2.1,137,2,5,-41.59790642
0.201,1,2.1,137,2,6,-40.92433371
0.201,1,2.1,137,2,2,-55.99877762
0.201,1,2.1,137,3,1,-43.42515865
0.201,1,2.1,137,3,5,-43.4251593
0.201,1,2.1,137,3,6,-42.75158659
0.201,1,2.1,137,3,2,-57.8260305
0.201,2,2.1,137,1,1,-33.34859887
0.201,2,2.1,137,1,3,-33.34860185
0.201,2,2.1,137,1,4,-33.34860683
0.201,2,2.1,137,1,5,-33.34860288
0.688,3,2.1,137,1,1,-32.46746298
0.688,3,2.1,137,1,2,-34.80771774
0.688,3,2.1,137,1,4,-35.00544061
0.688,3,2.1,137,1,5,-30.17623722
0.884,1,2.2,145,1,2,-67.95400392
0.884,1,2.2,145,1,1,-67.95400392
0.884,1,2.2,145,1,3,-67.95400392
0.884,1,2.2,145,1,4,-67.95400392
0.884,1,2.2,145,1,2,-65.86438654
0.884,1,2.2,145,1,1,-65.86438654
0.884,1,2.2,145,1,3,-65.86438654
0.884,1,2.2,145,1,4,-65.86438654
0.884,1,2.2,145,1,2,-67.36741378
0.884,1,2.2,145,1,1,-67.36741378
0.884,1,2.2,145,1,3,-67.36741378
0.884,1,2.2,145,1,4,-67.36741378
0.62,2,2.2,145,2,1,-28.52678189
0.62,2,2.2,145,2,3,-28.52678189
0.62,2,2.2,145,2,4,-28.52678192
0.62,2,2.2,145,2,2,-28.52678189
0.765,3,2.2,145,3,3,-45.12082696
0.765,3,2.2,145,3,1,-45.12082696
0.765,3,2.2,145,3,4,-45.12082696
0.765,3,2.2,145,3,2,-45.12082696
0.858,1,2.96,114,1,1,-115.9935423
0.858,1,2.96,114,1,2,-115.9935423
0.858,1,2.96,114,1,5,-115.9935423
0.858,1,2.96,114,1,3,-115.9935423
0.858,1,2.96,114,1,1,-93.37705274
0.858,1,2.96,114,1,2,-93.37705274
0.858,1,2.96,114,1,5,-93.37705274
0.858,1,2.96,114,1,3,-93.37705274
0.858,1,2.96,114,1,1,-94.99366849
0.858,1,2.96,114,1,2,-94.99366849
0.858,1,2.96,114,1,5,-94.99366849
1.058,1,2.96,114,1,3,-94.99366849
1.058,2,2.96,114,2,2,-75.34195462
1.058,2,2.96,114,2,1,-75.34195462
1.058,2,2.96,114,2,5,-75.34195462
1.175,2,2.96,114,2,3,-75.34195462
1.175,3,2.96,114,3,4,-78.17939096
1.175,3,2.96,114,3,2,-78.17939096
1.175,3,2.96,114,3,1,-78.17939096
1.175,3,2.96,114,3,3,-78.17939096
1.064,1,3.16,99,1,2,-73.0056073
1.064,1,3.16,99,1,5,-73.0056073
1.064,1,3.16,99,1,3,-73.0056073
1.064,1,3.16,99,1,1,-73.0056073
1.064,1,3.16,99,1,2,-80.81516765
1.064,1,3.16,99,1,5,-80.81516765
1.064,1,3.16,99,1,3,-80.81516765
1.064,1,3.16,99,1,1,-80.81516765
1.064,1,3.16,99,1,2,-115.1934685
1.064,1,3.16,99,1,5,-115.1934685
1.064,1,3.16,99,1,3,-115.1934685
1.064,1,3.16,99,1,1,-121.4685625
1.072,2,3.16,99,2,2,-78.85525
1.072,2,3.16,99,2,4,-78.85525
1.072,2,3.16,99,2,1,-78.85525
1.072,2,3.16,99,2,5,-78.85525
1.062,3,3.16,99,3,1,-109.4301978
1.062,3,3.16,99,3,3,-109.4301978
1.062,3,3.16,99,3,2,-109.4301978
1.062,3,3.16,99,3,4,-109.4301978
1.046,1,2.66,133,1,1,-60.59192806
1.046,1,2.66,133,1,4,-60.59192806
1.046,1,2.66,133,1,3,-60.59192806
1.046,1,2.66,133,1,3,-60.59192806
1.046,1,2.66,133,1,1,-67.1704052
1.046,1,2.66,133,1,4,-67.1704052
1.046,1,2.66,133,1,3,-67.1704052
1.046,1,2.66,133,1,3,-67.1704052
1.046,1,2.66,133,1,1,-81.30430767
1.046,1,2.66,133,1,4,-81.30430767
1.046,1,2.66,133,1,3,-81.30430767
1.046,1,2.66,133,1,3,-81.30430767
0.959,2,2.66,133,2,1,-71.76752416
0.959,2,2.66,133,2,2,-71.76752416
0.959,2,2.66,133,2,2,-71.76752416
0.959,2,2.66,133,2,4,-71.76752416
1.03,3,2.66,133,3,4,-81.20855779
1.03,3,2.66,133,3,1,-81.20855779
1.03,3,2.66,133,3,2,-81.20855779
1.03,3,2.66,133,3,3,-81.20855779
1.203,1,3.98,64,1,2,-81.88638231
1.203,1,3.98,64,1,1,-81.88638231
1.203,1,3.98,64,1,3,-81.88638231
1.203,1,3.98,64,1,5,-81.88638231
1.203,1,3.98,64,1,2,-84.16160385
1.203,1,3.98,64,1,1,-84.16160385
1.203,1,3.98,64,1,3,-84.16160385
1.203,1,3.98,64,1,5,-84.16160385
1.203,1,3.98,64,1,2,-80.87279375
1.203,1,3.98,64,1,1,-80.87279375
1.203,1,3.98,64,1,3,-80.87279375
1.203,1,3.98,64,1,5,-80.87279375
0.751,2,3.98,64,2,2,-101.0771977
0.751,2,3.98,64,2,4,-101.0771977
0.751,2,3.98,64,2,1,-101.0771977
0.751,2,3.98,64,2,3,-101.0771977
0.99,3,3.98,64,3,1,-105.7874911
0.99,3,3.98,64,3,4,-105.7874911
0.99,3,3.98,64,3,2,-105.7874911
0.99,3,3.98,64,3,5,-105.7874911
